Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%)
4/28/2021,84,89,83,85,Rise,1,1.19,"948,005","8,199,629",5,0,0
4/27/2021,85,87,83,84,Fall,1,1.17,"430,873","3,664,528",2,0,0
4/26/2021,82,87,82,85,Rise,2,2.4,"681,065","5,780,560",5,-1,-1.204819277
4/23/2021,86,87,83,83,Fall,3,3.48,"445,916","3,756,185",1,0,0
4/22/2021,87,89,85,86,Fall,2,2.27,"533,746","4,584,788",2,-1,-1.136363636
4/21/2021,88,90,86,88,Unchnaged,0,0,"544,539","4,777,095",2,0,0
4/20/2021,87,89,84,88,Rise,1,1.14,"687,860","5,937,917",2,0,0
4/19/2021,88,90,86,87,Fall,1,1.13,"522,397","4,611,313",2,0,0
4/16/2021,89,92,88,88,Fall,1,1.12,"1,049,384","9,386,038",3,0,0
4/15/2021,91,92,88,89,Fall,1,1.11,"955,569","8,576,140",1,1,1.111111111
4/14/2021,91,94,89,90,Fall,1,1.09,"1,142,093","10,447,493",3,0,0
4/13/2021,96,97,90,91,Fall,4,4.21,"1,251,965","11,539,138",1,1,1.052631579
4/12/2021,91,103,91,95,Rise,4,4.39,"4,741,785","46,493,363",12,0,0
4/9/2021,95,98,90,91,Fall,3,3.19,"2,486,808","23,367,854",3,1,1.063829787
4/8/2021,97,104,91,94,Fall,1,1.05,"6,718,382","65,022,336",7,2,2.105263158
4/7/2021,73,98,70,95,Rise,22,30.13,"8,648,599","76,378,575",25,0,0
4/6/2021,78,79,73,73,Lower limit,5,6.41,"1,279,422","9,525,992",1,0,0
4/5/2021,81,83,78,78,Fall,3,3.7,"734,590","5,839,658",2,0,0
4/1/2021,80,81,79,81,Rise,1,1.25,"272,479","2,179,345",1,0,0
3/31/2021,81,84,76,80,Fall,1,1.23,"773,372","6,226,278",3,0,0
3/30/2021,82,87,80,81,Fall,1,1.21,"924,551","7,716,135",5,0,0
3/29/2021,83,86,81,82,Fall,1,1.2,"427,304","3,542,707",3,0,0
3/26/2021,81,85,80,83,Unchnaged,0,0,"671,688","5,558,643",4,-2,-2.409638554
3/25/2021,89,90,83,83,Lower limit,6,6.74,"978,650","8,289,321",1,0,0
3/24/2021,84,92,80,89,Rise,6,7.22,"3,035,116","26,891,248",8,1,1.204819277
3/23/2021,89,92,81,83,Fall,2,2.35,"3,846,851","32,996,570",3,4,4.705882353
3/22/2021,91,94,85,85,Lower limit,6,6.59,"2,036,978","17,547,548",3,0,0
3/19/2021,95,96,90,91,Fall,4,4.21,"1,993,784","18,451,650",1,0,0
3/18/2021,102,104,95,95,Lower limit,7,6.86,"3,501,229","34,502,479",2,0,0
3/17/2021,90,102,84,102,Rise,12,13.33,"10,507,813","99,537,962",12,0,0
3/16/2021,90,98,90,90,Lower limit,6,6.25,"2,749,957","25,103,804",8,-6,-6.25
3/15/2021,100,106,96,96,Fall,4,4,"2,169,642","21,577,581",6,0,0
3/12/2021,95,118,95,100,Fall,2,1.96,"11,165,974","115,965,260",23,-7,-6.862745098
3/10/2021,102,102,102,102,Lower limit,7,6.42,"182,166","1,858,093",0,-7,-6.422018349
3/9/2021,109,116,109,109,Lower limit,8,6.83,"313,640","3,426,256",7,-8,-6.837606838
3/8/2021,135,151,117,117,Lower limit,8,6.4,"13,851,863","175,678,691",16,10,8
3/5/2021,125,125,125,125,,0,0,0,0,0,0,0
3/4/2021,103,125,103,125,Upper limit,32,34.4,"20,107,737","239,532,699",22,10,10.75268817
3/3/2021,70,93,68,93,Upper limit,24,34.78,"12,711,025","103,113,653",23,1,1.449275362
3/2/2021,73,74,68,69,Fall,3,4.16,"2,251,252","15,880,797",1,1,1.388888889
3/1/2021,70,76,70,72,Rise,2,2.85,"2,674,802","19,457,773",6,0,0
2/26/2021,72,80,67,70,Fall,2,2.77,"6,828,013","49,604,194",8,0,0
2/25/2021,70,75,62,72,Rise,10,16.12,"6,902,654","48,319,604",5,8,12.90322581
2/24/2021,55,69,52,62,Rise,7,12.72,"5,876,938","36,667,469",14,0,0
2/23/2021,55,61,55,55,Lower limit,4,6.77,"1,496,817","8,329,310",6,-4,-6.779661017
2/22/2021,62,66,58,59,Fall,3,4.83,"1,594,613","9,774,208",4,0,0
2/19/2021,66,68,62,62,Lower limit,4,6.06,"1,382,445","8,684,000",2,0,0
2/18/2021,69,87,64,66,Fall,1,1.49,"12,253,218","92,281,012",18,2,2.985074627
2/17/2021,50,67,50,67,Upper limit,17,34,"5,573,545","34,040,664",17,0,0
2/16/2021,50,50,50,50,Unchnaged,0,0,"3,624","18,120",0,0,0
2/15/2021,50,50,50,50,Unchnaged,0,0,920,"4,600",0,0,0
2/11/2021,50,50,50,50,Unchnaged,0,0,"12,825","64,125",0,0,0
2/10/2021,50,50,50,50,Unchnaged,0,0,"2,264","11,320",0,0,0
2/9/2021,50,50,50,50,Unchnaged,0,0,"6,097","30,485",0,0,0
2/8/2021,50,50,50,50,Unchnaged,0,0,"2,061","10,305",0,0,0
2/5/2021,50,50,50,50,Unchnaged,0,0,"24,260","121,300",0,0,0
2/4/2021,50,50,50,50,Unchnaged,0,0,889,"4,445",0,0,0
2/3/2021,50,50,50,50,Unchnaged,0,0,"21,332","106,660",0,0,0
2/2/2021,50,50,50,50,Unchnaged,0,0,"5,689","28,445",0,0,0
2/1/2021,50,50,50,50,Unchnaged,0,0,"26,966","134,830",0,0,0
1/29/2021,50,50,50,50,Unchnaged,0,0,"1,467","7,335",0,0,0
1/28/2021,50,50,50,50,Unchnaged,0,0,453,"2,265",0,0,0
1/27/2021,50,50,50,50,Unchnaged,0,0,"3,089","15,445",0,0,0
1/26/2021,50,50,50,50,Unchnaged,0,0,"78,685","393,425",0,0,0
1/25/2021,50,51,50,50,Unchnaged,0,0,"16,565","82,825",1,0,0
1/22/2021,50,51,50,50,Unchnaged,0,0,"31,119","155,600",1,0,0
1/21/2021,50,51,50,50,Unchnaged,0,0,"47,686","239,029",1,0,0
1/20/2021,50,51,50,50,Unchnaged,0,0,"171,280","860,435",1,0,0
1/19/2021,50,51,50,50,Unchnaged,0,0,"121,492","610,016",1,0,0
1/18/2021,50,52,50,50,Unchnaged,0,0,"160,986","814,335",2,0,0
1/15/2021,50,52,50,50,Unchnaged,0,0,"101,133","510,215",2,0,0
1/14/2021,50,52,50,50,Unchnaged,0,0,"118,063","600,041",2,0,0
1/13/2021,51,51,50,50,Lower limit,1,1.96,"101,036","508,819",0,0,0
1/12/2021,50,53,50,51,Rise,1,2,"318,942","1,630,166",3,0,0
1/11/2021,51,51,50,50,Lower limit,1,1.96,"204,433","1,023,190",0,0,0
1/8/2021,50,51,50,51,Rise,1,2,"203,353","1,017,794",1,0,0
1/7/2021,50,51,50,50,Unchnaged,0,0,"76,642","383,595",1,0,0
1/6/2021,50,53,50,50,Unchnaged,0,0,"340,968","1,729,765",3,0,0
1/5/2021,50,51,50,50,Unchnaged,0,0,"92,384","462,990",1,0,0
1/4/2021,50,51,50,50,Unchnaged,0,0,"22,091","110,455",1,0,0
12/30/2020,50,51,50,50,Unchnaged,0,0,"64,386","321,946",1,0,0
12/29/2020,50,51,50,50,Unchnaged,0,0,"87,606","438,304",1,0,0
12/28/2020,50,54,50,50,Unchnaged,0,0,"789,451","4,030,695",4,0,0
12/23/2020,50,50,50,50,Unchnaged,0,0,"37,900","189,500",0,0,0
12/22/2020,50,51,50,50,Unchnaged,0,0,"66,105","330,527",1,0,0
12/21/2020,50,51,50,50,Unchnaged,0,0,"93,179","465,897",1,0,0
12/18/2020,50,51,50,50,Unchnaged,0,0,"59,067","295,346",1,0,0
12/17/2020,50,50,50,50,Unchnaged,0,0,"8,469","42,345",0,0,0
12/16/2020,50,50,50,50,Unchnaged,0,0,"10,534","52,670",0,0,0
12/15/2020,50,51,50,50,Unchnaged,0,0,"35,319","176,705",1,0,0
12/14/2020,50,51,50,50,Unchnaged,0,0,"81,200","406,000",1,0,0
12/11/2020,50,53,50,50,Unchnaged,0,0,"525,328","2,667,537",3,0,0
12/10/2020,50,50,50,50,Unchnaged,0,0,"14,229","71,145",0,0,0
12/8/2020,50,50,50,50,Unchnaged,0,0,"4,831","24,155",0,0,0
12/7/2020,50,51,50,50,Unchnaged,0,0,"98,030","490,450",1,0,0
12/4/2020,50,52,50,50,Unchnaged,0,0,"250,523","1,261,078",2,0,0
12/3/2020,50,50,50,50,Unchnaged,0,0,"13,413","67,065",0,0,0
12/2/2020,50,50,50,50,Unchnaged,0,0,"17,899","89,495",0,0,0
12/1/2020,50,50,50,50,Unchnaged,0,0,"1,401","7,005",0,0,0
11/30/2020,50,51,50,50,Unchnaged,0,0,"150,152","750,810",1,0,0
11/27/2020,51,52,50,50,Lower limit,1,1.96,"267,706","1,344,270",1,0,0
11/26/2020,51,53,50,51,Rise,1,2,"388,898","1,982,472",2,1,2
11/25/2020,50,54,50,50,Unchnaged,0,0,"1,147,342","5,809,984",4,0,0
11/24/2020,50,50,50,50,Unchnaged,0,0,"21,195","105,975",0,0,0
11/23/2020,50,50,50,50,Unchnaged,0,0,"8,912","44,560",0,0,0
11/20/2020,50,50,50,50,Unchnaged,0,0,"6,579","32,895",0,0,0
11/19/2020,50,50,50,50,Unchnaged,0,0,318,"1,590",0,0,0
11/18/2020,50,50,50,50,Unchnaged,0,0,560,"2,800",0,0,0
11/17/2020,50,50,50,50,Unchnaged,0,0,"1,355","6,775",0,0,0
11/16/2020,50,50,50,50,Unchnaged,0,0,"1,898","9,490",0,0,0
11/13/2020,50,50,50,50,Unchnaged,0,0,"1,158","5,790",0,0,0
11/12/2020,50,50,50,50,Unchnaged,0,0,478,"2,390",0,0,0
11/11/2020,50,50,50,50,Unchnaged,0,0,"2,006","10,030",0,0,0
11/10/2020,50,50,50,50,Unchnaged,0,0,"13,034","65,170",0,0,0
11/9/2020,50,51,50,50,Unchnaged,0,0,"68,579","344,905",1,0,0
11/6/2020,52,52,50,50,Lower limit,2,3.84,"514,779","2,574,532",0,0,0
11/5/2020,53,58,52,52,Lower limit,3,5.45,"1,676,987","8,861,880",5,-2,-3.636363636
11/4/2020,50,67,50,55,Rise,5,10,"7,707,907","46,206,101",17,0,0
11/3/2020,50,50,50,50,Unchnaged,0,0,"2,475","12,375",0,0,0
11/2/2020,50,50,50,50,Unchnaged,0,0,46,230,0,0,0
10/27/2020,50,50,50,50,Unchnaged,0,0,3,15,0,0,0
10/26/2020,50,50,50,50,Unchnaged,0,0,26,130,0,0,0
10/23/2020,50,50,50,50,Unchnaged,0,0,517,"2,585",0,0,0
10/22/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
10/21/2020,50,50,50,50,Unchnaged,0,0,230,"1,150",0,0,0
10/20/2020,50,50,50,50,Unchnaged,0,0,24,120,0,0,0
10/19/2020,50,50,50,50,Unchnaged,0,0,12,60,0,0,0
10/16/2020,50,50,50,50,Unchnaged,0,0,56,280,0,0,0
10/15/2020,50,50,50,50,Unchnaged,0,0,341,"1,705",0,0,0
10/14/2020,50,50,50,50,Unchnaged,0,0,425,"2,125",0,0,0
10/13/2020,50,50,50,50,Unchnaged,0,0,239,"1,195",0,0,0
10/12/2020,50,50,50,50,Unchnaged,0,0,730,"3,650",0,0,0
10/9/2020,50,50,50,50,Unchnaged,0,0,210,"1,050",0,0,0
10/8/2020,50,50,50,50,Unchnaged,0,0,22,110,0,0,0
10/7/2020,50,50,50,50,Unchnaged,0,0,30,150,0,0,0
10/6/2020,50,50,50,50,Unchnaged,0,0,5,25,0,0,0
10/5/2020,50,50,50,50,Unchnaged,0,0,25,125,0,0,0
10/2/2020,50,50,50,50,Unchnaged,0,0,55,275,0,0,0
10/1/2020,50,50,50,50,Unchnaged,0,0,29,145,0,0,0
9/30/2020,50,50,50,50,Unchnaged,0,0,29,145,0,0,0
9/29/2020,50,50,50,50,Unchnaged,0,0,97,485,0,0,0
9/28/2020,50,50,50,50,Unchnaged,0,0,2,10,0,0,0
9/25/2020,50,50,50,50,Unchnaged,0,0,21,105,0,0,0
9/24/2020,50,50,50,50,Unchnaged,0,0,13,65,0,0,0
9/23/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
9/22/2020,50,50,50,50,,0,0,0,0,0,0,0
9/21/2020,50,50,50,50,Unchnaged,0,0,25,125,0,0,0
9/18/2020,50,50,50,50,Unchnaged,0,0,10,50,0,0,0
9/17/2020,50,50,50,50,Unchnaged,0,0,2,10,0,0,0
9/16/2020,50,50,50,50,Unchnaged,0,0,4,20,0,0,0
9/15/2020,50,50,50,50,Unchnaged,0,0,64,320,0,0,0
9/14/2020,50,50,50,50,Unchnaged,0,0,316,"1,580",0,0,0
9/11/2020,50,50,50,50,Unchnaged,0,0,107,535,0,0,0
9/10/2020,50,50,50,50,Unchnaged,0,0,5,25,0,0,0
9/9/2020,50,50,50,50,Unchnaged,0,0,21,105,0,0,0
9/8/2020,50,50,50,50,Unchnaged,0,0,11,55,0,0,0
9/7/2020,50,50,50,50,Unchnaged,0,0,481,"2,405",0,0,0
9/4/2020,50,50,50,50,Unchnaged,0,0,7,35,0,0,0
9/3/2020,50,50,50,50,Unchnaged,0,0,117,585,0,0,0
9/2/2020,50,50,50,50,Unchnaged,0,0,17,85,0,0,0
9/1/2020,50,50,50,50,Unchnaged,0,0,32,160,0,0,0
8/31/2020,50,50,50,50,Unchnaged,0,0,495,"2,475",0,0,0
8/28/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
8/27/2020,50,50,50,50,Unchnaged,0,0,49,245,0,0,0
8/26/2020,50,50,50,50,Unchnaged,0,0,"1,170","5,850",0,0,0
8/25/2020,50,50,50,50,Unchnaged,0,0,182,910,0,0,0
8/24/2020,50,50,50,50,Unchnaged,0,0,53,265,0,0,0
8/19/2020,50,50,50,50,Unchnaged,0,0,315,"1,575",0,0,0
8/18/2020,50,50,50,50,Unchnaged,0,0,437,"2,185",0,0,0
8/14/2020,50,50,50,50,Unchnaged,0,0,23,115,0,0,0
8/13/2020,50,50,50,50,Unchnaged,0,0,385,"1,925",0,0,0
8/12/2020,50,50,50,50,Unchnaged,0,0,100,500,0,0,0
8/11/2020,50,50,50,50,Unchnaged,0,0,14,70,0,0,0
8/10/2020,50,50,50,50,Unchnaged,0,0,10,50,0,0,0
8/7/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
8/6/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
8/5/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
8/4/2020,50,50,50,50,Unchnaged,0,0,184,920,0,0,0
8/3/2020,50,50,50,50,Unchnaged,0,0,208,"1,040",0,0,0
7/30/2020,50,50,50,50,Unchnaged,0,0,2,10,0,0,0
7/29/2020,50,50,50,50,Unchnaged,0,0,23,115,0,0,0
7/28/2020,50,50,50,50,Unchnaged,0,0,35,175,0,0,0
7/27/2020,50,50,50,50,Unchnaged,0,0,26,130,0,0,0
7/24/2020,50,50,50,50,Unchnaged,0,0,5,25,0,0,0
7/23/2020,50,50,50,50,Unchnaged,0,0,15,75,0,0,0
7/22/2020,50,50,50,50,Unchnaged,0,0,49,245,0,0,0
7/21/2020,50,50,50,50,Unchnaged,0,0,255,"1,275",0,0,0
7/20/2020,50,50,50,50,Unchnaged,0,0,70,350,0,0,0
7/17/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
7/16/2020,50,50,50,50,Unchnaged,0,0,77,385,0,0,0
7/15/2020,50,50,50,50,Unchnaged,0,0,20,100,0,0,0
7/14/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
7/13/2020,50,50,50,50,Unchnaged,0,0,23,115,0,0,0
7/10/2020,50,50,50,50,Unchnaged,0,0,16,80,0,0,0
7/9/2020,50,50,50,50,Unchnaged,0,0,26,130,0,0,0
7/8/2020,50,50,50,50,Unchnaged,0,0,50,250,0,0,0
7/7/2020,50,50,50,50,Unchnaged,0,0,6,30,0,0,0
7/6/2020,50,50,50,50,Unchnaged,0,0,3,15,0,0,0
7/3/2020,50,50,50,50,Unchnaged,0,0,130,650,0,0,0
7/2/2020,50,50,50,50,Unchnaged,0,0,338,"1,690",0,0,0
7/1/2020,50,50,50,50,Unchnaged,0,0,10,50,0,0,0
6/30/2020,50,50,50,50,Unchnaged,0,0,190,950,0,0,0
6/29/2020,50,50,50,50,Unchnaged,0,0,16,80,0,0,0
6/26/2020,50,50,50,50,Unchnaged,0,0,235,"1,175",0,0,0
6/25/2020,50,50,50,50,Unchnaged,0,0,7,35,0,0,0
6/24/2020,50,50,50,50,Unchnaged,0,0,7,35,0,0,0
6/23/2020,50,50,50,50,Unchnaged,0,0,109,545,0,0,0
6/22/2020,50,50,50,50,Unchnaged,0,0,10,50,0,0,0
6/19/2020,50,50,50,50,Unchnaged,0,0,74,370,0,0,0
6/18/2020,50,50,50,50,Unchnaged,0,0,4,20,0,0,0
6/17/2020,50,50,50,50,Unchnaged,0,0,17,85,0,0,0
6/16/2020,50,50,50,50,Unchnaged,0,0,43,215,0,0,0
6/15/2020,50,50,50,50,Unchnaged,0,0,17,85,0,0,0
6/12/2020,50,50,50,50,Unchnaged,0,0,25,125,0,0,0
6/11/2020,50,50,50,50,Unchnaged,0,0,102,510,0,0,0
6/10/2020,50,50,50,50,Unchnaged,0,0,850,"4,250",0,0,0
6/9/2020,50,50,50,50,Unchnaged,0,0,110,550,0,0,0
6/8/2020,50,50,50,50,Unchnaged,0,0,30,150,0,0,0
6/5/2020,50,50,50,50,Unchnaged,0,0,85,425,0,0,0
6/4/2020,50,50,50,50,Unchnaged,0,0,33,165,0,0,0
6/3/2020,50,50,50,50,Unchnaged,0,0,56,280,0,0,0
6/2/2020,50,50,50,50,Unchnaged,0,0,104,520,0,0,0
5/29/2020,50,50,50,50,Unchnaged,0,0,45,225,0,0,0
5/28/2020,50,50,50,50,Unchnaged,0,0,58,290,0,0,0
5/27/2020,50,50,50,50,Unchnaged,0,0,3,15,0,0,0
5/26/2020,50,50,50,50,Unchnaged,0,0,9,45,0,0,0
5/20/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
5/19/2020,50,50,50,50,Unchnaged,0,0,18,90,0,0,0
5/18/2020,50,50,50,50,Unchnaged,0,0,2,10,0,0,0
5/15/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
5/14/2020,50,50,50,50,Unchnaged,0,0,22,110,0,0,0
5/13/2020,50,50,50,50,Unchnaged,0,0,2,10,0,0,0
5/12/2020,50,50,50,50,Unchnaged,0,0,94,470,0,0,0
5/11/2020,50,50,50,50,Unchnaged,0,0,101,505,0,0,0
5/8/2020,50,50,50,50,Unchnaged,0,0,51,255,0,0,0
5/6/2020,50,50,50,50,Unchnaged,0,0,13,65,0,0,0
5/5/2020,50,50,50,50,Unchnaged,0,0,70,350,0,0,0
5/4/2020,50,50,50,50,Unchnaged,0,0,130,650,0,0,0
4/30/2020,50,50,50,50,Unchnaged,0,0,113,565,0,0,0
4/29/2020,50,50,50,50,Unchnaged,0,0,100,500,0,0,0
4/28/2020,50,50,50,50,,0,0,0,0,0,0,0
4/27/2020,50,50,50,50,Unchnaged,0,0,6,30,0,0,0
4/24/2020,50,50,50,50,Unchnaged,0,0,1,5,0,0,0
4/23/2020,50,50,50,50,Unchnaged,0,0,10,50,0,0,0
4/22/2020,50,50,50,50,,0,0,0,0,0,0,0
4/21/2020,50,50,50,50,Unchnaged,0,0,3,15,0,0,0
4/20/2020,50,50,50,50,Unchnaged,0,0,4,20,0,0,0
4/17/2020,50,50,50,50,Unchnaged,0,0,23,115,0,0,0
4/16/2020,50,50,50,50,,0,0,0,0,0,0,0
4/15/2020,50,50,50,50,Unchnaged,0,0,7,35,0,0,0
4/14/2020,50,50,50,50,,0,0,0,0,0,0,0
4/13/2020,50,50,50,50,Unchnaged,0,0,15,75,0,0,0
4/9/2020,50,50,50,50,Unchnaged,0,0,4,20,0,0,0
4/8/2020,50,50,50,50,Unchnaged,0,0,19,95,0,0,0
4/7/2020,50,50,50,50,Unchnaged,0,0,122,610,0,0,0
4/6/2020,50,50,50,50,Unchnaged,0,0,303,"1,515",0,0,0
